,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
16,21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,17,Male,1,Laboratory Technician,Single,42130,1.0,Y,12,8,3,3.0,3,3,1,0
17,37,No,Non-Travel,Research & Development,1,3,Medical,1,18,Male,2,Sales Executive,Divorced,41270,2.0,Y,13,8,1,15.0,2,5,0,2
18,35,No,Travel_Rarely,Sales,7,4,Life Sciences,1,19,Male,1,Sales Representative,Divorced,24380,7.0,Y,16,8,0,10.0,5,7,6,2
19,38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,20,Female,1,Manager,Divorced,68700,1.0,Y,11,8,1,8.0,5,8,7,7
20,26,No,Travel_Frequently,Research & Development,1,4,Other,1,21,Male,2,Laboratory Technician,Divorced,104470,1.0,Y,18,8,0,6.0,3,6,1,4
21,50,No,Travel_Rarely,Sales,8,4,Life Sciences,1,22,Male,1,Research Scientist,Divorced,96670,3.0,Y,23,8,0,28.0,2,10,1,6
22,53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,1,23,Female,2,Research Scientist,Married,21480,3.0,Y,11,8,0,21.0,2,5,1,3
24,29,No,Travel_Frequently,Research & Development,16,4,Medical,1,25,Male,1,Laboratory Technician,Single,65130,1.0,Y,11,8,1,10.0,2,10,0,9
25,55,No,Travel_Rarely,Research & Development,1,4,Other,1,26,Female,1,Research Scientist,Married,67990,3.0,Y,11,8,0,12.0,2,10,0,8
26,26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,27,Female,1,Manager,Married,162910,1.0,Y,22,8,0,5.0,3,5,3,3
27,37,No,Travel_Rarely,Sales,5,1,Marketing,1,28,Male,1,Research Scientist,Single,27050,1.0,Y,11,8,0,17.0,2,17,5,7
29,38,No,Travel_Rarely,Sales,2,3,Marketing,1,30,Female,1,Manager,Divorced,44480,9.0,Y,12,8,0,10.0,3,2,1,2
31,28,No,Travel_Rarely,Research & Development,7,3,Other,1,32,Male,1,Human Resources,Single,96370,1.0,Y,13,8,0,5.0,6,5,0,2
32,49,No,Travel_Frequently,Research & Development,1,1,Medical,1,33,Female,2,Research Scientist,Single,35910,9.0,Y,13,8,0,22.0,2,3,1,2
33,36,No,Travel_Rarely,Sales,5,3,Technical Degree,1,34,Male,3,Sales Executive,Single,54050,4.0,Y,14,8,0,10.0,2,8,7,7
34,31,No,Travel_Frequently,Research & Development,9,4,Medical,1,35,Male,1,Sales Executive,Divorced,46840,1.0,Y,16,8,1,2.0,4,2,2,2
36,37,No,Travel_Frequently,Sales,9,1,Marketing,1,37,Male,1,Laboratory Technician,Married,15140,1.0,Y,14,8,0,4.0,3,4,1,2
37,42,No,Travel_Frequently,Sales,2,2,Marketing,1,38,Male,3,Research Director,Married,29560,5.0,Y,13,8,0,23.0,2,20,4,8
39,35,No,Travel_Rarely,Sales,20,2,Life Sciences,1,40,Male,1,Laboratory Technician,Married,51540,0.0,Y,19,8,0,12.0,2,11,6,9
40,36,No,Travel_Frequently,Research & Development,8,3,Other,1,41,Female,3,Sales Executive,Married,69620,4.0,Y,12,8,2,4.0,2,1,0,0
41,51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,42,Male,2,Laboratory Technician,Divorced,56750,5.0,Y,13,8,0,13.0,2,4,1,2
42,41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,1,43,Male,1,Laboratory Technician,Single,23790,1.0,Y,12,8,0,22.0,6,22,0,4
43,18,No,Travel_Rarely,Sales,7,3,Life Sciences,1,44,Male,1,Research Scientist,Single,38120,1.0,Y,15,8,0,0.0,3,0,0,0
44,28,No,Travel_Rarely,Research & Development,9,3,Medical,1,45,Male,1,Sales Representative,Single,46480,0.0,Y,23,8,2,9.0,2,8,0,7
45,31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,1,46,Male,1,Manufacturing Director,Married,29360,4.0,Y,12,8,1,10.0,2,8,7,7
46,39,No,Travel_Rarely,Sales,5,4,Marketing,1,47,Female,2,Human Resources,Divorced,21050,0.0,Y,20,8,0,19.0,3,18,3,7
47,36,No,Non-Travel,Research & Development,5,4,Life Sciences,1,48,Male,1,Sales Executive,Married,85780,7.0,Y,21,8,0,11.0,4,9,0,8
48,32,No,Travel_Rarely,Sales,2,3,Marketing,1,49,Male,2,Laboratory Technician,Married,27060,1.0,Y,21,8,1,13.0,4,13,4,8
49,38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,50,Female,3,Research Scientist,Married,63840,3.0,Y,19,8,2,19.0,4,10,0,1
50,58,No,Non-Travel,Research & Development,2,3,Life Sciences,1,51,Male,2,Manufacturing Director,Divorced,39680,2.0,Y,13,8,2,12.0,3,5,1,2
51,31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,1,52,Female,3,Research Scientist,Married,99070,0.0,Y,13,8,1,6.0,3,5,0,3
52,31,No,Travel_Rarely,Sales,7,4,Marketing,1,53,Male,2,Sales Executive,Married,132250,3.0,Y,21,8,1,9.0,2,2,1,0
53,45,No,Travel_Frequently,Research & Development,3,1,Medical,1,54,Female,1,Sales Executive,Divorced,35400,1.0,Y,13,8,0,24.0,6,24,9,11
54,31,No,Travel_Rarely,Sales,16,4,Marketing,1,55,Female,2,Research Scientist,Divorced,28040,0.0,Y,19,8,2,3.0,0,2,2,2
55,33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,56,Male,4,Research Director,Married,193920,6.0,Y,12,8,1,12.0,3,10,8,8
56,39,No,Travel_Rarely,Sales,1,4,Life Sciences,1,57,Male,1,Sales Executive,Married,196650,1.0,Y,22,8,1,21.0,6,21,11,10
57,43,No,Travel_Frequently,Research & Development,7,4,Medical,1,58,Male,4,Research Scientist,Single,24390,0.0,Y,15,8,0,9.0,2,8,1,7
58,49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,59,Male,3,Manufacturing Director,Single,73140,7.0,Y,22,8,0,25.0,2,7,0,7
60,27,No,Travel_Rarely,Research & Development,15,4,Medical,1,61,Male,3,Research Scientist,Single,39020,1.0,Y,22,8,0,4.0,2,4,1,2
61,32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,62,Male,3,Research Scientist,Married,26620,1.0,Y,11,8,1,13.0,6,13,11,9
62,27,No,Travel_Rarely,Research & Development,13,2,Medical,1,63,Female,4,Research Director,Single,28560,1.0,Y,12,8,2,5.0,5,5,0,4
63,31,No,Travel_Rarely,Sales,24,3,Life Sciences,1,64,Male,2,Healthcare Representative,Divorced,10810,4.0,Y,11,8,3,13.0,4,7,1,7
64,32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,65,Male,2,Healthcare Representative,Single,24720,7.0,Y,13,8,0,10.0,2,7,0,7
66,30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,1,67,Female,4,Research Director,Married,41970,1.0,Y,13,8,0,11.0,3,10,1,9
67,31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,68,Female,1,Manager,Married,97130,1.0,Y,17,8,0,10.0,5,10,8,9
68,39,No,Travel_Frequently,Research & Development,19,4,Medical,1,69,Female,1,Research Scientist,Married,20620,1.0,Y,13,8,0,21.0,4,21,13,3
70,33,No,Travel_Frequently,Sales,4,2,Life Sciences,1,71,Male,4,Research Scientist,Single,47880,3.0,Y,11,8,1,9.0,0,7,0,1
71,47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,72,Female,2,Healthcare Representative,Married,59060,4.0,Y,23,8,0,21.0,4,3,1,1
72,43,No,Travel_Frequently,Research & Development,14,3,Medical,1,73,Female,5,Research Director,Divorced,38860,1.0,Y,17,8,2,9.0,2,9,0,0
73,27,No,Non-Travel,Research & Development,2,3,Life Sciences,1,74,Male,1,Research Director,Married,168230,0.0,Y,17,8,0,6.0,3,5,1,4
74,54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,75,Male,2,Research Scientist,Single,29330,3.0,Y,12,8,2,20.0,2,4,0,3
75,43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,76,Female,2,Manager,Married,65000,8.0,Y,23,8,0,10.0,3,1,0,0
76,45,No,Travel_Rarely,Sales,3,1,Marketing,1,77,Female,1,Sales Executive,Married,171740,9.0,Y,14,8,1,12.0,6,10,9,8
77,40,No,Travel_Rarely,Research & Development,2,4,Other,1,78,Male,4,Research Scientist,Married,50330,2.0,Y,14,8,2,6.0,6,4,0,2
79,29,No,Travel_Rarely,Human Resources,8,3,Medical,1,80,Male,3,Sales Representative,Single,25870,0.0,Y,22,8,2,4.0,3,3,2,2
80,30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,81,Male,2,Research Scientist,Divorced,55070,1.0,Y,12,8,2,10.0,2,10,1,2
81,27,No,Travel_Rarely,Research & Development,11,2,Medical,1,82,Male,1,Manager,Married,43930,1.0,Y,18,8,1,8.0,2,8,0,7
82,37,No,Travel_Rarely,Sales,1,4,Life Sciences,1,83,Male,2,Healthcare Representative,Divorced,133480,7.0,Y,14,8,0,8.0,4,6,0,4
83,38,No,Travel_Rarely,Research & Development,28,4,Medical,1,84,Male,1,Laboratory Technician,Divorced,65830,0.0,Y,12,8,0,12.0,1,11,2,9
84,31,No,Travel_Rarely,Research & Development,6,3,Medical,1,85,Female,3,Manager,Single,81030,1.0,Y,15,8,1,11.0,5,11,4,10
85,29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,86,Male,3,Sales Executive,Divorced,39780,1.0,Y,11,8,0,7.0,0,7,1,7
86,35,No,Travel_Rarely,Sales,16,2,Technical Degree,1,87,Male,3,Manager,Single,25440,0.0,Y,13,8,1,17.0,3,16,0,13
87,23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,1,88,Male,1,Manufacturing Director,Divorced,53990,1.0,Y,23,8,0,4.0,2,4,0,2
88,41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,89,Female,1,Laboratory Technician,Single,54870,6.0,Y,19,8,2,8.0,0,5,1,2
89,47,No,Travel_Frequently,Sales,1,3,Medical,1,90,Female,2,Laboratory Technician,Single,68340,3.0,Y,16,8,1,5.0,2,0,0,0
90,42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,91,Male,1,Manager,Single,10910,2.0,Y,22,8,0,16.0,0,1,0,0
91,29,No,Non-Travel,Sales,22,4,Marketing,1,92,Male,2,Human Resources,Married,57360,1.0,Y,22,8,0,4.0,1,4,0,2
92,42,No,Travel_Rarely,Sales,7,4,Medical,1,93,Male,3,Research Scientist,Divorced,22260,0.0,Y,12,8,1,4.0,3,3,1,0
93,32,No,Travel_Rarely,Research & Development,2,3,Medical,1,94,Male,2,Research Scientist,Married,57470,1.0,Y,13,8,0,8.0,0,8,0,7
94,48,No,Travel_Rarely,Sales,13,4,Medical,1,95,Male,4,Sales Executive,Married,98540,3.0,Y,16,8,1,15.0,2,0,0,0
95,37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,1,96,Male,2,Manufacturing Director,Divorced,54670,4.0,Y,12,8,0,13.0,2,7,6,7
96,30,No,Non-Travel,Sales,25,4,Other,1,97,Male,1,Healthcare Representative,Married,53800,7.0,Y,21,8,1,4.0,0,2,2,2
97,26,No,Travel_Rarely,Sales,28,3,Medical,1,98,Female,5,Laboratory Technician,Married,51510,1.0,Y,15,8,3,8.0,3,8,7,7
98,42,No,Travel_Rarely,Sales,2,2,Medical,1,99,Female,1,Laboratory Technician,Single,21330,3.0,Y,13,8,2,14.0,2,1,0,0
100,36,No,Non-Travel,Human Resources,28,3,Human Resources,1,101,Male,2,Laboratory Technician,Single,24320,4.0,Y,22,8,0,7.0,4,1,0,0
101,36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,1,102,Female,2,Research Scientist,Married,47710,4.0,Y,13,8,1,16.0,2,13,1,12
102,57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,103,Male,5,Research Scientist,Married,191610,2.0,Y,18,8,0,15.0,2,3,1,2
103,40,No,Travel_Rarely,Research & Development,8,3,Other,1,104,Male,2,Sales Executive,Married,50870,3.0,Y,14,8,1,10.0,3,7,1,7
104,21,No,Non-Travel,Research & Development,1,5,Life Sciences,1,105,Female,2,Manager,Single,28630,1.0,Y,14,8,0,3.0,2,3,2,2
106,37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,107,Male,4,Research Scientist,Married,21440,6.0,Y,19,8,0,17.0,3,5,0,3
107,46,No,Non-Travel,Sales,2,4,Marketing,1,108,Female,2,Laboratory Technician,Married,30650,2.0,Y,11,8,0,7.0,3,1,0,0
109,50,No,Travel_Rarely,Research & Development,9,3,Medical,1,110,Female,3,Laboratory Technician,Single,98880,6.0,Y,15,8,0,20.0,2,4,1,3
111,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,112,Male,4,Human Resources,Single,28670,0.0,Y,24,8,0,3.0,5,2,2,2
113,29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,114,Female,2,Research Director,Single,66670,9.0,Y,12,8,1,6.0,6,3,1,2
114,35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,1,115,Female,3,Sales Executive,Single,50030,9.0,Y,15,8,0,10.0,2,1,0,0
116,28,No,Travel_Rarely,Research & Development,2,2,Medical,1,117,Male,3,Manager,Single,28580,1.0,Y,12,8,0,7.0,2,7,0,7
117,49,No,Travel_Rarely,Sales,2,3,Technical Degree,1,118,Male,2,Manufacturing Director,Single,52040,8.0,Y,14,8,1,26.0,3,5,0,0
118,51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,119,Male,1,Sales Executive,Married,41050,4.0,Y,22,8,1,18.0,2,7,0,7
119,36,No,Travel_Rarely,Sales,15,2,Life Sciences,1,120,Male,1,Sales Executive,Married,96790,4.0,Y,12,8,0,6.0,1,2,2,2
121,55,No,Travel_Rarely,Sales,26,3,Marketing,1,122,Male,1,Laboratory Technician,Single,104480,2.0,Y,13,8,0,30.0,3,5,1,2
122,24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,123,Female,5,Manager,Divorced,28970,1.0,Y,18,8,3,5.0,4,5,0,3
123,30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,124,Female,2,Manager,Married,59680,1.0,Y,13,8,0,1.0,3,1,0,0
125,22,No,Travel_Rarely,Research & Development,16,5,Other,1,126,Male,1,Research Scientist,Married,29910,1.0,Y,19,8,2,2.0,3,2,1,2
126,36,No,Travel_Rarely,Research & Development,1,3,Medical,1,127,Female,5,Healthcare Representative,Married,196360,1.0,Y,12,8,1,10.0,3,10,9,0
128,37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,1,129,Male,1,Sales Executive,Divorced,133410,1.0,Y,14,8,1,18.0,3,18,12,17
129,40,No,Travel_Rarely,Research & Development,6,2,Medical,1,130,Male,3,Research Scientist,Divorced,43320,7.0,Y,14,8,2,8.0,3,5,1,3
130,42,No,Travel_Rarely,Research & Development,2,3,Medical,1,131,Female,4,Manager,Divorced,110310,3.0,Y,12,8,1,8.0,2,5,1,2
131,37,No,Travel_Rarely,Sales,9,1,Marketing,1,132,Male,3,Sales Executive,Single,44400,2.0,Y,11,8,1,18.0,3,1,0,1
132,43,No,Travel_Rarely,Sales,10,2,Life Sciences,1,133,Female,1,Sales Executive,Divorced,46170,1.0,Y,11,8,0,25.0,2,25,3,9
133,40,No,Travel_Rarely,Sales,6,2,Life Sciences,1,134,Female,1,Laboratory Technician,Married,26470,6.0,Y,13,8,0,20.0,2,1,0,0
134,54,No,Travel_Rarely,Human Resources,9,3,Life Sciences,1,135,Female,2,Manufacturing Director,Married,63230,4.0,Y,23,8,1,24.0,2,4,1,2
135,34,No,Non-Travel,Research & Development,28,3,Medical,1,136,Male,1,Laboratory Technician,Married,56770,9.0,Y,20,8,1,6.0,3,3,1,2
136,31,No,Travel_Rarely,Research & Development,10,4,Life Sciences,1,137,Male,3,Sales Executive,Married,21870,1.0,Y,15,8,1,13.0,2,13,3,12
138,43,No,Travel_Rarely,Sales,27,4,Life Sciences,1,139,Male,2,Sales Representative,Divorced,39770,4.0,Y,18,8,1,8.0,3,5,0,2
139,25,No,Travel_Rarely,Human Resources,7,2,Human Resources,1,140,Male,1,Manufacturing Director,Single,86330,1.0,Y,19,8,1,5.0,2,5,1,3
140,37,No,Non-Travel,Research & Development,1,3,Medical,1,141,Male,3,Laboratory Technician,Married,20080,3.0,Y,22,8,0,15.0,5,13,10,7
141,31,No,Travel_Rarely,Research & Development,24,1,Medical,1,142,Male,3,Laboratory Technician,Married,44400,1.0,Y,13,8,1,4.0,2,4,3,2
142,39,No,Travel_Frequently,Research & Development,26,4,Technical Degree,1,143,Female,1,Sales Executive,Divorced,30670,1.0,Y,20,8,1,21.0,5,21,1,6
143,56,No,Travel_Frequently,Research & Development,20,4,Life Sciences,1,144,Female,3,Sales Executive,Married,53210,9.0,Y,14,8,0,36.0,1,7,7,7
144,30,No,Travel_Rarely,Sales,5,4,Medical,1,145,Female,2,Manufacturing Director,Single,54100,0.0,Y,17,8,1,6.0,2,5,4,4
145,41,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,146,Female,3,Research Scientist,Married,27820,1.0,Y,14,8,0,10.0,2,10,0,7
146,28,No,Travel_Rarely,Research & Development,7,3,Medical,1,147,Male,3,Healthcare Representative,Divorced,119570,1.0,Y,13,8,0,10.0,2,10,1,8
148,52,No,Travel_Rarely,Research & Development,26,2,Life Sciences,1,149,Female,2,Sales Representative,Married,33750,2.0,Y,21,8,0,28.0,2,5,0,4
149,45,No,Travel_Rarely,Research & Development,2,3,Medical,1,150,Female,1,Sales Executive,Married,50980,3.0,Y,14,8,1,8.0,4,2,0,2
150,52,No,Travel_Rarely,Research & Development,12,3,Medical,1,151,Male,2,Research Scientist,Married,48780,2.0,Y,11,8,1,31.0,3,5,1,4
151,42,No,Travel_Frequently,Sales,10,3,Marketing,1,152,Female,2,Healthcare Representative,Divorced,28370,2.0,Y,13,8,1,19.0,0,5,0,2
152,30,No,Travel_Rarely,Sales,25,3,Marketing,1,153,Male,1,Sales Executive,Single,24060,2.0,Y,20,8,1,11.0,5,5,0,2
153,60,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,154,Female,1,Manufacturing Director,Married,22690,5.0,Y,18,8,1,33.0,4,29,11,10
154,46,No,Travel_Rarely,Sales,19,4,Marketing,1,155,Female,1,Sales Executive,Divorced,41080,2.0,Y,14,8,0,19.0,5,10,0,8
155,42,No,Travel_Frequently,Research & Development,18,4,Technical Degree,1,156,Male,4,Sales Executive,Married,132060,0.0,Y,13,8,2,7.0,2,6,0,4
158,38,No,Travel_Frequently,Sales,3,3,Marketing,1,159,Female,2,Sales Executive,Married,49070,1.0,Y,11,8,1,1.0,3,1,0,0
159,40,No,Travel_Rarely,Sales,26,4,Marketing,1,160,Female,1,Sales Executive,Married,34820,0.0,Y,18,8,1,21.0,2,20,1,12
160,26,No,Travel_Rarely,Research & Development,3,2,Medical,1,161,Female,4,Healthcare Representative,Divorced,24360,1.0,Y,24,8,0,3.0,2,3,0,2
161,30,No,Non-Travel,Research & Development,15,3,Medical,1,162,Female,2,Sales Executive,Married,23800,4.0,Y,18,8,3,9.0,2,5,1,4
162,29,No,Travel_Rarely,Research & Development,8,3,Medical,1,163,Female,3,Manufacturing Director,Married,194310,1.0,Y,11,8,0,10.0,3,10,0,7
165,30,No,Non-Travel,Research & Development,2,4,Life Sciences,1,166,Female,3,Research Scientist,Married,51310,0.0,Y,15,8,1,10.0,2,9,7,8
166,57,No,Travel_Rarely,Research & Development,2,2,Life Sciences,1,167,Male,4,Research Scientist,Divorced,63060,3.0,Y,12,8,1,32.0,3,1,0,0
167,50,No,Travel_Rarely,Sales,10,4,Life Sciences,1,168,Female,3,Manager,Married,47870,0.0,Y,12,8,0,28.0,3,27,15,7
168,30,No,Non-Travel,Sales,10,2,Life Sciences,1,169,Male,3,Laboratory Technician,Single,188800,0.0,Y,22,8,1,12.0,3,11,6,7
169,60,No,Travel_Frequently,Research & Development,16,3,Life Sciences,1,170,Female,4,Laboratory Technician,Married,23390,4.0,Y,20,8,0,22.0,4,18,13,11
170,47,No,Travel_Rarely,Research & Development,1,3,Technical Degree,1,171,Male,5,Manufacturing Director,Divorced,135700,5.0,Y,16,8,2,20.0,2,5,0,4
171,46,No,Travel_Rarely,Sales,4,1,Technical Degree,1,172,Male,1,Laboratory Technician,Married,67120,6.0,Y,21,8,1,26.0,3,3,0,1
172,35,No,Travel_Rarely,Research & Development,15,2,Medical,1,173,Female,2,Laboratory Technician,Single,54060,0.0,Y,12,8,1,6.0,2,5,4,3
173,54,No,Travel_Rarely,Research & Development,2,4,Medical,1,174,Male,2,Human Resources,Single,89380,7.0,Y,11,8,3,19.0,2,1,0,0
174,34,No,Travel_Rarely,Sales,8,2,Life Sciences,1,175,Male,1,Laboratory Technician,Divorced,24390,3.0,Y,11,8,2,14.0,2,7,5,7
175,46,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,176,Male,1,Healthcare Representative,Married,88370,2.0,Y,18,8,0,15.0,3,3,1,2
176,31,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,177,Male,2,Research Director,Divorced,53430,1.0,Y,14,8,1,13.0,3,13,0,8
179,30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,180,Male,1,Sales Executive,Single,48500,0.0,Y,12,8,1,4.0,4,3,1,2
180,35,No,Travel_Rarely,Research & Development,12,2,Medical,1,181,Female,2,Sales Representative,Married,28090,4.0,Y,23,8,1,10.0,2,8,0,0
183,42,No,Travel_Frequently,Research & Development,2,4,Medical,1,184,Female,1,Research Scientist,Married,29770,4.0,Y,15,8,3,8.0,3,2,2,0
184,36,No,Non-Travel,Research & Development,3,4,Medical,1,185,Male,1,Research Scientist,Single,40250,1.0,Y,11,8,0,10.0,3,10,9,7
186,48,No,Travel_Rarely,Research & Development,6,3,Medical,1,187,Male,1,Laboratory Technician,Married,108540,2.0,Y,14,8,1,14.0,6,9,6,7
187,55,No,Travel_Rarely,Research & Development,1,3,Medical,1,188,Female,1,Sales Executive,Single,120310,3.0,Y,11,8,0,37.0,5,10,7,7
188,41,No,Non-Travel,Research & Development,3,2,Life Sciences,1,189,Female,2,Research Scientist,Single,99360,7.0,Y,17,8,1,16.0,2,14,1,10
189,35,No,Travel_Rarely,Research & Development,22,3,Medical,1,190,Female,1,Sales Representative,Married,29660,9.0,Y,18,8,0,15.0,2,11,6,9
190,40,No,Travel_Rarely,Research & Development,15,3,Life Sciences,1,191,Female,2,Laboratory Technician,Single,25710,7.0,Y,14,8,0,22.0,1,20,5,13
191,39,No,Travel_Frequently,Research & Development,12,1,Medical,1,192,Male,1,Research Scientist,Married,99910,1.0,Y,16,8,1,8.0,3,8,0,7
192,31,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,193,Male,3,Research Director,Single,61420,4.0,Y,13,8,2,10.0,2,6,0,5
193,42,No,Travel_Rarely,Research & Development,5,3,Medical,1,194,Male,3,Sales Executive,Married,53900,1.0,Y,14,8,0,10.0,3,10,5,8
194,45,No,Travel_Rarely,Research & Development,2,1,Medical,1,195,Female,4,Sales Executive,Married,44040,0.0,Y,23,8,0,9.0,2,8,3,7
196,29,No,Travel_Rarely,Research & Development,5,3,Medical,1,197,Male,1,Research Scientist,Divorced,51300,4.0,Y,11,8,0,8.0,3,3,1,2
197,33,No,Travel_Rarely,Research & Development,16,3,Medical,1,198,Female,1,Laboratory Technician,Divorced,20900,4.0,Y,16,8,0,10.0,2,6,0,5
198,31,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,199,Female,1,Sales Executive,Divorced,29090,9.0,Y,14,8,2,10.0,2,5,0,1
200,40,No,Non-Travel,Research & Development,1,4,Technical Degree,1,201,Female,2,Laboratory Technician,Divorced,30680,3.0,Y,19,8,0,20.0,3,1,0,1
201,41,No,Non-Travel,Research & Development,23,3,Life Sciences,1,202,Male,2,Manufacturing Director,Single,26700,2.0,Y,15,8,2,10.0,2,8,0,7
202,26,No,Travel_Rarely,Research & Development,9,4,Medical,1,203,Male,3,Healthcare Representative,Divorced,26930,5.0,Y,17,8,3,8.0,3,0,0,0
203,35,No,Travel_Rarely,Research & Development,16,4,Medical,1,204,Male,2,Human Resources,Single,95260,1.0,Y,15,8,0,5.0,2,5,0,3
204,34,No,Travel_Rarely,Research & Development,26,3,Medical,1,205,Male,1,Laboratory Technician,Single,52370,1.0,Y,19,8,1,10.0,3,10,5,7
206,37,No,Travel_Rarely,Research & Development,8,1,Life Sciences,1,207,Male,1,Sales Executive,Single,41930,4.0,Y,16,8,1,12.0,5,6,1,2
207,46,No,Travel_Frequently,Research & Development,4,1,Medical,1,208,Male,5,Human Resources,Married,29110,5.0,Y,13,8,0,28.0,3,2,1,2
208,41,No,Travel_Rarely,Research & Development,24,1,Life Sciences,1,209,Male,1,Research Director,Married,26610,7.0,Y,14,8,1,22.0,2,18,11,8
209,37,No,Non-Travel,Research & Development,7,2,Medical,1,210,Male,1,Sales Executive,Divorced,20280,1.0,Y,16,8,1,9.0,3,9,7,7
